"X5.1","X3.5","X1.4","X0.2","Iris.setosa","rf"
6.7,3.3,5.7,2.1,"Iris-virginica","Iris-virginica"
6.9,3.1,5.1,2.3,"Iris-virginica","Iris-virginica"
5.5,2.6,4.4,1.2,"Iris-versicolor","Iris-versicolor"
5.5,2.5,4,1.3,"Iris-versicolor","Iris-versicolor"
5.6,2.5,3.9,1.1,"Iris-versicolor","Iris-versicolor"
4.7,3.2,1.3,0.2,"Iris-setosa","Iris-setosa"
6.4,2.9,4.3,1.3,"Iris-versicolor","Iris-versicolor"
6.3,3.4,5.6,2.4,"Iris-virginica","Iris-virginica"
6,2.7,5.1,1.6,"Iris-versicolor","Iris-virginica"
5.1,3.8,1.9,0.4,"Iris-setosa","Iris-setosa"
6.9,3.1,4.9,1.5,"Iris-versicolor","Iris-virginica"
5.1,2.5,3,1.1,"Iris-versicolor","Iris-versicolor"
6.5,3,5.5,1.8,"Iris-virginica","Iris-virginica"
4.7,3.2,1.6,0.2,"Iris-setosa","Iris-setosa"
6.2,2.9,4.3,1.3,"Iris-versicolor","Iris-versicolor"
6.7,3,5,1.7,"Iris-versicolor","Iris-virginica"
5,3.4,1.6,0.4,"Iris-setosa","Iris-setosa"
7.3,2.9,6.3,1.8,"Iris-virginica","Iris-virginica"
5.5,3.5,1.3,0.2,"Iris-setosa","Iris-setosa"
5.5,2.4,3.7,1,"Iris-versicolor","Iris-versicolor"
4.8,3,1.4,0.3,"Iris-setosa","Iris-setosa"
4.6,3.6,1,0.2,"Iris-setosa","Iris-setosa"
